bucket,domain,freq,weighted,h,meas
124,E,272,6.819949081502660630572272,1,nrep
125,A,12,0.002533210717840455892869,1,nrep
125,B,475,0.086099608000274377241198,1,nrep
125,E,327,12.185656569659301726036226,1,nrep
126,A,10,0.001443451892247766261883,1,nrep
126,B,433,0.101583164433842846022608,1,nrep
126,E,214,5.840418646991014114896857,1,nrep
127,A,20,0.013308198140258995496825,1,nrep
127,B,584,0.205502978390448196390358,1,nrep
127,E,429,34.288704069333258443196880,1,nrep
128,A,11,0.003314359776988772889226,1,nrep
128,B,480,0.283122714247186736726872,1,nrep
128,E,350,23.651892548328097630221639,1,nrep
129,A,5,0.001175451997944866169630,1,nrep
129,B,403,0.205312234559056725045173,1,nrep
129,E,311,10.122825032029932793700287,1,nrep
130,A,13,0.001177866248140260451250,1,nrep
130,B,496,0.098199530069398196399495,1,nrep
130,E,431,55.038954321710142567483063,1,nrep
131,A,13,0.003276643529810723520104,1,nrep
131,B,673,0.120050240057988191109906,1,nrep
131,E,331,5.660465723825383891905029,1,nrep
132,A,10,0.036027413260957573258756,1,nrep
132,B,436,0.287673286154846669432952,1,nrep
132,E,329,16.322619696845228523417851,1,nrep
133,A,8,0.003031415629596914049051,1,nrep
133,B,469,0.124753647529647076350212,1,nrep
133,E,238,11.148645773060693241103147,1,nrep
134,A,3,0.000216437779328946995359,1,nrep
134,B,87,0.015188861072412331169365,1,nrep
134,E,90,0.007860235651441800279887,1,nrep
135,A,52,0.037092187608497406014687,1,nrep
135,B,1480,1.256771514331235213253264,1,nrep
135,E,1144,89.320628012952167832066663,1,nrep
136,B,36,0.007504514659777314708082,1,nrep
136,E,60,0.503821127154157459109259,1,nrep
137,A,6,0.001254579173078272804097,1,nrep
137,B,472,0.095271638547347457384570,1,nrep
137,E,221,2.672454808076703139633038,1,nrep
138,A,13,0.004449905722163387885309,1,nrep
138,B,497,0.094701579922963291257823,1,nrep
138,E,369,24.368622867375479841660799,1,nrep
139,A,14,0.003337274965394713651777,1,nrep
139,B,711,0.610265483031520165730149,1,nrep
139,E,417,12.500413497194924829636645,1,nrep
140,A,13,0.003081288637868350781818,1,nrep
140,B,685,0.227329178897211165793905,1,nrep
140,E,392,17.513466745021363729405880,1,nrep
141,A,6,0.000946445544656638319920,1,nrep
141,B,396,0.172182816929729265990540,1,nrep
141,E,311,7.180148124902579525399603,1,nrep
142,A,18,0.004233630978341035429844,1,nrep
142,B,574,0.185819047228392848300692,1,nrep
142,E,466,36.445956557020460171557189,1,nrep
143,A,11,0.001865488275964490213080,1,nrep
143,B,590,0.847985957776164174100768,1,nrep
143,E,450,25.752015590774737742272271,1,nrep
144,A,22,0.044543736463433510872133,1,nrep
144,B,689,0.137105308199952826265082,1,nrep
144,E,356,7.919221669804424866097204,1,nrep
145,A,17,0.094352019385669794147132,1,nrep
145,B,692,0.221914701772775625043515,1,nrep
145,E,506,19.782507137272095611366616,1,nrep
146,A,12,0.001113418259506596502933,1,nrep
146,B,538,0.306815114686849170102973,1,nrep
146,E,354,31.583813277944163414891947,1,nrep
147,A,27,0.007185671245026921822385,1,nrep
147,B,701,0.143737566618043748045950,1,nrep
147,E,521,34.669509070097112459610864,1,nrep
148,A,16,0.005373615584370769308362,1,nrep
148,B,536,0.098384048195986792568618,1,nrep
148,E,413,25.106715580711402051498772,1,nrep
149,A,26,0.008086711097335542216204,1,nrep
149,B,688,0.247504061426903134394570,1,nrep
149,E,459,20.248841626042676082937737,1,nrep
150,A,22,0.023588500211391845195363,1,nrep
150,B,677,1.142898457407021069639058,1,nrep
150,E,514,28.196081394463429138113269,1,nrep
151,A,11,0.002655097591785998643945,1,nrep
151,B,642,0.169454005014899085448914,1,nrep
151,E,499,30.691392131336780592947372,1,nrep
152,A,18,0.004349928503834760771992,1,nrep
152,B,807,0.189821884916114798810518,1,nrep
152,E,475,15.821769560836344653931156,1,nrep
153,A,28,0.009008051467294648084412,1,nrep
153,B,755,0.646323425438794935083370,1,nrep
153,E,757,53.394036046334920225890585,1,nrep
154,A,27,0.033355507699685434684870,1,nrep
154,B,820,0.313377935694872318284844,1,nrep
154,E,622,33.142376731453154967542944,1,nrep
155,A,13,0.033164202397207458401541,1,nrep
155,B,509,0.118216518463026359369773,1,nrep
155,E,310,6.128971093939941866579995,1,nrep
156,A,26,0.027871049413645803072544,1,nrep
156,B,804,0.155129451107000824618348,1,nrep
156,E,526,17.003575835127012883260063,1,nrep
157,A,19,0.003747482856649647409088,1,nrep
157,B,578,0.114252445735443906454516,1,nrep
157,E,417,8.227874694095250652589000,1,nrep
158,A,25,0.007485786500057353132667,1,nrep
158,B,1024,0.438357404315792983523585,1,nrep
158,E,632,37.049585728800544403201954,1,nrep
159,A,23,0.004111662433062058367374,1,nrep
159,B,741,0.147271595015703692054462,1,nrep
159,E,483,14.324580491300053843422681,1,nrep
160,A,25,0.032434470353118510955856,1,nrep
160,B,884,0.466270882525757769565615,1,nrep
160,E,598,19.334747313130517782486072,1,nrep
161,A,23,0.006026708837881567846058,1,nrep
161,B,913,0.201288646811647274581251,1,nrep
161,E,1180,53.759251119395959916421837,1,nrep
162,A,41,0.041991660016794196005917,1,nrep
162,B,986,0.192197381437672975072699,1,nrep
162,E,569,20.574994495578694205403130,1,nrep
163,A,23,0.004040427148952580966134,1,nrep
163,B,724,0.191043613605668410133384,1,nrep
163,E,511,9.613732044407143568495117,1,nrep
164,A,31,0.034647090828282387740637,1,nrep
164,B,989,0.462798031472523986330284,1,nrep
164,E,529,15.970980519532661456238489,1,nrep
165,A,20,0.060598806868846041177975,1,nrep
165,B,905,0.208111451754339008927603,1,nrep
165,E,521,20.795241262874707183887775,1,nrep
166,A,24,0.003670695658260544568888,1,nrep
166,B,1008,0.551820513539912914759839,1,nrep
166,E,523,12.792235060278424927641012,1,nrep
167,A,35,0.007077442962563132788114,1,nrep
167,B,1024,1.312544305610504736632528,1,nrep
167,E,602,11.189865966227545847819807,1,nrep
168,A,39,0.037398174485602221114616,1,nrep
168,B,862,0.410689975619853615159066,1,nrep
168,E,1912,96.018122459853086641898607,1,nrep
169,A,38,0.009302833511503570534851,1,nrep
169,B,1143,0.423868840322741449667890,1,nrep
169,E,578,8.384664394538362934626744,1,nrep
170,A,24,0.063494859114336085586944,1,nrep
170,B,901,0.665560518345403559630666,1,nrep
170,E,529,8.811871987601670049547120,1,nrep
171,A,29,0.011547472303441340923986,1,nrep
171,B,1171,0.223574771107773666820254,1,nrep
171,E,802,51.047996010945220876547002,1,nrep
172,A,27,0.048590241999853765376113,1,nrep
172,B,957,0.957510061327376911846131,1,nrep
172,E,491,10.795209848600969830186992,1,nrep
173,A,20,0.003923461916040513628719,1,nrep
173,B,1044,1.387593898870372080501661,1,nrep
173,E,603,11.530951640138569611997450,1,nrep
174,A,41,0.008629749463378659885753,1,nrep
174,B,1297,0.313943496357495645996322,1,nrep
174,E,595,10.013107585000010132418822,1,nrep
175,A,11,0.002043938940102742855361,1,nrep
175,B,1256,1.689490880098090009056932,1,nrep
175,E,1697,81.305568771819590847372315,1,nrep
176,A,12,0.003721851892836113292594,1,nrep
176,B,811,0.153508769132815850301200,1,nrep
176,E,480,5.165761401886197918701568,1,nrep
177,A,40,0.069776048252578868432083,1,nrep
177,B,1134,5.439563635483949026615976,1,nrep
177,E,753,41.546301553316642699791240,1,nrep
178,A,34,0.006932393054344435942544,1,nrep
178,B,1202,0.330028374210338518289572,1,nrep
178,E,615,16.105712092794082578349816,1,nrep
179,A,27,0.039648363322903684178045,1,nrep
179,B,607,0.122564355945118755704770,1,nrep
179,E,345,0.149049636694502706995574,1,nrep
180,A,69,0.019220844851179295906236,1,nrep
180,B,2137,1.300102564330392764976484,1,nrep
180,E,1182,38.984565346791882292210685,1,nrep
181,A,24,0.005640634783567459335380,1,nrep
181,B,739,0.144497843276567109525853,1,nrep
181,E,340,1.505853799520488972364366,1,nrep
182,A,49,0.067176645686125766579726,1,nrep
182,B,1122,0.423924267117871114795358,1,nrep
182,E,1011,32.077298206190913574617874,1,nrep
183,A,39,0.019836604531987966792248,1,nrep
183,B,1224,0.279074424950093999965129,1,nrep
183,E,661,9.889761695831128686975006,1,nrep
184,A,34,0.009316113966538827482956,1,nrep
184,B,1402,17.767258356432240303705210,1,nrep
184,E,735,8.552316073980112039426947,1,nrep
185,A,44,0.014085542878876836011476,1,nrep
185,B,1212,1.299001322059659591004786,1,nrep
185,E,808,51.023399820964554820571749,1,nrep
