bucket,multicell,freq,weighted,h,meas
127,t,316,16.555733211007221234038684,1,nrep
128,f,26,0.481367625449383119582406,1,nrep
128,t,324,23.170524922878714510639233,1,nrep
129,f,18,0.011583342222950172828154,1,nrep
129,t,293,10.111241689806982620872133,1,nrep
130,f,39,0.272364112042465642554193,1,nrep
130,t,392,54.766590209667676924928870,1,nrep
131,f,60,1.675803564402591747670224,1,nrep
131,t,271,3.984662159422792144234805,1,nrep
132,f,34,0.425129609141877388297106,1,nrep
132,t,295,15.897490087703351135120745,1,nrep
133,f,37,0.048328414691974988975014,1,nrep
133,t,201,11.100317358368718252128133,1,nrep
134,f,10,0.001189526607644496840644,1,nrep
134,t,80,0.006670709043797303439243,1,nrep
135,f,118,6.700926535217380039307800,1,nrep
135,t,1026,82.619701477734787792758863,1,nrep
136,f,9,0.001113326726403375923807,1,nrep
136,t,51,0.502707800427754083185452,1,nrep
137,f,30,0.062953395959766499333697,1,nrep
137,t,191,2.609501412116936640299341,1,nrep
138,f,33,0.007368556497194853103570,1,nrep
138,t,336,24.361254310878284988557229,1,nrep
139,f,82,4.119616561096156174925109,1,nrep
139,t,335,8.380796936098768654711536,1,nrep
140,f,50,0.234738720718107576575660,1,nrep
140,t,342,17.278728024303256152830220,1,nrep
141,f,26,0.071412196639392521286019,1,nrep
141,t,285,7.108735928263187004113584,1,nrep
142,f,38,0.030319154956514777305400,1,nrep
142,t,428,36.415637402063945394251789,1,nrep
143,f,102,7.583869467233384593755828,1,nrep
143,t,348,18.168146123541353148516443,1,nrep
144,f,50,0.564689418779015482024303,1,nrep
144,t,306,7.354532251025409384072901,1,nrep
145,f,41,0.005368714835850905766169,1,nrep
145,t,465,19.777138422436244705600447,1,nrep
146,f,35,0.523269468365526414297712,1,nrep
146,t,319,31.060543809578637000594235,1,nrep
147,f,67,3.162035936704186747971501,1,nrep
147,t,454,31.507473133392925711639363,1,nrep
148,f,48,0.296375997456919885677961,1,nrep
148,t,365,24.810339583254482165820811,1,nrep
149,f,41,0.255161644058763615329251,1,nrep
149,t,418,19.993679981983912467608486,1,nrep
150,f,115,12.891086945230405601169665,1,nrep
150,t,399,15.304994449233023536943604,1,nrep
151,f,87,2.708973488780847414322876,1,nrep
151,t,412,27.982418642555933178624496,1,nrep
152,f,60,0.322062637226401283279635,1,nrep
152,t,415,15.499706923609943370651521,1,nrep
153,f,190,10.698975731436071648000677,1,nrep
153,t,567,42.695060314898848577889908,1,nrep
154,f,71,0.450317815438903136638618,1,nrep
154,t,551,32.692058916014251830904326,1,nrep
155,f,52,0.026366512256521334503397,1,nrep
155,t,258,6.102604581683420532076598,1,nrep
156,f,48,0.007981346481859188238943,1,nrep
156,t,478,16.995594488645153695021120,1,nrep
157,f,85,0.622965086475487505406020,1,nrep
157,t,332,7.604909607619763147182980,1,nrep
158,f,152,10.461745737041746844986282,1,nrep
158,t,480,26.587839991758797558215672,1,nrep
159,f,57,0.714235756553242568869464,1,nrep
159,t,426,13.610344734746811274553217,1,nrep
160,f,92,0.568888608521629416981984,1,nrep
160,t,506,18.765858704608888365504088,1,nrep
161,f,838,43.609867587208825865403257,1,nrep
161,t,342,10.149383532187134051018580,1,nrep
162,f,59,1.924750579104482696558512,1,nrep
162,t,510,18.650243916474211508844618,1,nrep
163,f,103,0.911600682573182831091262,1,nrep
163,t,408,8.702131361833960737403855,1,nrep
164,f,58,0.380419992294165089687010,1,nrep
164,t,471,15.590560527238496366551479,1,nrep
165,f,128,9.180352313175354528295186,1,nrep
165,t,393,11.614888949699352655592589,1,nrep
