accession	tempOptimMin	tempOptimMax	tempMin	tempMax	path
Q9DCT1	37.0	37.0			PH/100/10090-7/AF-Q9DCT1-F1-model_v3.json.gz
Q9DCV3	37.0	37.0			PH/100/10090-7/AF-Q9DCV3-F1-model_v3.json.gz
Q9EPA7	37.0	37.0			PH/100/10090-7/AF-Q9EPA7-F1-model_v3.json.gz
Q9EQH7	37.0	37.0			PH/100/10090-7/AF-Q9EQH7-F1-model_v3.json.gz
Q9EQQ9	37.0	37.0			PH/100/10090-7/AF-Q9EQQ9-F1-model_v3.json.gz
Q9EQW8	37.0	37.0			PH/100/10090-7/AF-Q9EQW8-F1-model_v3.json.gz
Q9ER35	30.0	30.0			PH/100/10090-7/AF-Q9ER35-F1-model_v3.json.gz
Q9ESW4	30.0	30.0			PH/100/10090-7/AF-Q9ESW4-F1-model_v3.json.gz
Q9JHG1	37.0	37.0			PH/100/10090-7/AF-Q9JHG1-F1-model_v3.json.gz
Q9JHW9	37.0	37.0			PH/100/10090-7/AF-Q9JHW9-F1-model_v3.json.gz
Q9JHX6	50.0	55.0			PH/100/10090-7/AF-Q9JHX6-F1-model_v3.json.gz
Q9JIA7	30.0	30.0			PH/100/10090-7/AF-Q9JIA7-F1-model_v3.json.gz
Q9JJS6	37.0	37.0	45.0	45.0	PH/100/10090-7/AF-Q9JJS6-F1-model_v3.json.gz
Q9JJS6	37.0	37.0	25.0	25.0	PH/100/10090-7/AF-Q9JJS6-F1-model_v3.json.gz
Q9JJY3	37.0	37.0			PH/100/10090-7/AF-Q9JJY3-F1-model_v3.json.gz
Q9JLV6	37.0	37.0			PH/100/10090-7/AF-Q9JLV6-F1-model_v3.json.gz
Q9JME2	37.0	37.0			PH/100/10090-7/AF-Q9JME2-F1-model_v3.json.gz
Q9QUI0	30.0	30.0			PH/100/10090-7/AF-Q9QUI0-F1-model_v3.json.gz
Q9QXN5	30.0	30.0			PH/100/10090-7/AF-Q9QXN5-F1-model_v3.json.gz
Q9QXN5	37.0	37.0			PH/100/10090-7/AF-Q9QXN5-F1-model_v3.json.gz
Q9QY93	60.0	60.0			PH/100/10090-7/AF-Q9QY93-F1-model_v3.json.gz
Q9QZX7	37.0	37.0			PH/100/10090-7/AF-Q9QZX7-F1-model_v3.json.gz
Q9QZX7	30.0	30.0			PH/100/10090-7/AF-Q9QZX7-F1-model_v3.json.gz
Q9R0T0	37.0	37.0			PH/100/10090-7/AF-Q9R0T0-F1-model_v3.json.gz
Q9R0X4	22.0	22.0			PH/100/10090-7/AF-Q9R0X4-F1-model_v3.json.gz
Q9R0X4	22.0	22.0			PH/100/10090-7/AF-Q9R0X4-F1-model_v3.json.gz
